delivery_date,wx_demand_temperature_mean,wx_demand_temperature_max,wx_demand_temperature_min,wx_demand_cloud_mean,wx_demand_precipitation_sum,wx_demand_shortwave_sum,wx_demand_dni_sum,wx_demand_wind_mean,wx_demand_wind_max,wx_demand_wind_cubed_mean,wx_hydro_temperature_mean,wx_hydro_temperature_max,wx_hydro_temperature_min,wx_hydro_cloud_mean,wx_hydro_precipitation_sum,wx_hydro_shortwave_sum,wx_hydro_dni_sum,wx_hydro_wind_mean,wx_hydro_wind_max,wx_hydro_wind_cubed_mean,wx_solar_temperature_mean,wx_solar_temperature_max,wx_solar_temperature_min,wx_solar_cloud_mean,wx_solar_precipitation_sum,wx_solar_shortwave_sum,wx_solar_dni_sum,wx_solar_wind_mean,wx_solar_wind_max,wx_solar_wind_cubed_mean,wx_wind_temperature_mean,wx_wind_temperature_max,wx_wind_temperature_min,wx_wind_cloud_mean,wx_wind_precipitation_sum,wx_wind_shortwave_sum,wx_wind_dni_sum,wx_wind_wind_mean,wx_wind_wind_max,wx_wind_wind_cubed_mean,wx_wind_site_dispersion,wx_demand_hdd,wx_demand_cdd,wx_hydro_precip_roll7,wx_hydro_precip_roll30
2026-06-23,30.02991666666667,36.232,23.544,26.923333333333336,0.0,8118.950000000001,9096.66,3.4628666666666668,6.8636,87.80808938666667,27.86895833333333,36.300000000000004,20.505,63.19166666666667,0.0,7118.88,5849.52,3.433104166666667,8.5275,121.20566391041666,30.566,39.704,22.122,51.20166666666667,0.0,7550.740000000001,7530.4400000000005,4.770833333333334,8.4724,226.41222321333336,29.422583333333332,36.938,21.53,40.545,0.0,7819.0199999999995,8444.498,5.357558333333333,9.2876,314.1473858458333,2.3612947506199973,0.0,8.029916666666669,7.155,7.98
2026-06-24,29.972083333333334,36.178000000000004,23.708000000000002,24.563333333333333,0.0,8169.200000000001,9349.648000000001,3.9720750000000002,7.714600000000001,141.32937318249998,27.105833333333337,35.195,20.93,62.199999999999996,0.09000000000000001,7385.925,6526.855000000001,3.662354166666667,9.222999999999999,151.22949904791665,29.37966666666667,37.224000000000004,21.900000000000002,35.03333333333333,0.0,8063.96,9242.172,4.986941666666667,9.568200000000001,287.34730962416666,28.912,35.784,21.568,56.05833333333334,0.022000000000000002,8023.712,8826.14,5.321866666666667,9.573,300.11370410166666,2.3302235477325794,0.0,7.972083333333334,4.48,8.07
2026-06-25,27.16625,32.49,22.482000000000003,26.395833333333336,1.37,7447.23,8116.036,4.902383333333334,8.802,225.32280612333332,22.22625,25.985,17.315,65.43124999999999,7.595000000000001,6236.365000000001,5187.45,4.183041666666667,7.836,194.48437705416669,26.25325,32.122,20.759999999999998,47.37916666666667,0.0,7349.06,7527.014,5.098825000000001,8.6686,204.45527700250003,25.121916666666667,29.622,20.502,51.34166666666667,5.766,6896.42,6821.784,6.0071916666666665,9.64,346.43576138416665,1.3569084657745858,0.0,5.166250000000002,11.955000000000002,15.665000000000001
2026-06-26,26.992083333333333,32.71,21.874000000000002,28.945,0.0,8140.33,9240.844000000001,3.3378500000000004,6.8515999999999995,88.81087912000001,21.5425,28.185000000000002,15.6,46.979166666666664,0.045000000000000005,7442.67,7419.75,4.2578125,6.727500000000001,120.45576195625002,26.443083333333334,33.028000000000006,19.822000000000003,32.13666666666667,0.0,8140.68,9289.886,3.162875,7.348600000000001,88.8630839525,24.2215,30.134,18.362,36.89083333333333,0.2,7818.664,8777.006,3.9762833333333334,7.6899999999999995,143.22361864333334,1.6630130578427686,0.0,4.992083333333333,10.570000000000002,15.71
2026-06-27,27.64816666666667,33.24,22.136000000000003,32.095,0.0,8130.400000000001,9373.646,3.282941666666667,5.7059999999999995,84.50560582916667,22.031041666666667,29.275,15.6,27.304166666666667,0.25,8008.97,8775.615,3.4531666666666667,6.9565,83.75763457916666,27.884833333333333,34.891999999999996,20.53,21.3075,0.0,8247.0,9875.698,3.610516666666667,7.381400000000001,98.93078749166668,25.017583333333334,31.601999999999997,18.294,35.108333333333334,0.0,8071.716,9426.216,4.2395499999999995,7.054,131.48387126,1.3489767405436528,0.0,5.648166666666668,8.565000000000001,15.96
2026-06-28,27.11225,32.356,22.466,51.215,0.5940000000000001,6577.47,6151.018,3.222575,7.9722,89.8917302725,19.372708333333335,25.03,14.505,59.49583333333334,0.16,6422.97,5412.7300000000005,4.8032708333333325,9.9165,230.64765758958333,27.940833333333334,34.434000000000005,21.266000000000002,39.182500000000005,0.12000000000000001,7593.820000000001,8018.240000000001,3.620375,8.142800000000001,105.52523941250001,22.937083333333334,28.61,18.434,67.08666666666666,2.7019999999999995,5848.984,5039.058,3.8256666666666663,9.190999999999999,161.56379531666667,0.8522085448616352,0.0,5.1122499999999995,8.14,16.12
2026-06-29,26.935583333333334,32.904,21.208000000000002,23.484166666666667,0.16000000000000003,7667.1,8847.908,4.348491666666666,8.020199999999999,231.13886072416665,20.02625,27.120000000000005,13.72,41.55,0.05,7718.095,8466.045,3.934458333333333,7.270500000000001,125.40184159583333,27.966583333333336,35.472,20.236,15.219166666666668,0.020000000000000004,8217.68,9793.962,4.307975,8.164200000000001,253.51684532750002,22.821416666666668,29.717999999999996,17.11,29.3725,0.0,8115.188,9296.236,6.880208333333334,10.1794,492.4788342058333,2.2045030409158906,0.0,4.935583333333334,8.190000000000001,16.17
2026-06-30,27.890833333333333,33.746,22.13,20.03333333333333,0.0,7721.070000000001,8967.758,3.9257166666666663,7.9856,189.93930030666664,20.781875,27.935,14.97,41.00833333333333,0.0,8080.33,8510.55,4.195979166666667,9.219999999999999,198.94999804791664,29.47141666666667,37.206,21.856,12.570833333333335,0.0,8243.68,10021.932,4.29945,9.299800000000001,214.13820238,23.67325,30.312,17.759999999999998,27.4175,0.0,8180.332,9441.168,6.328508333333334,10.8186,442.1113074258333,2.061662917954465,0.0,5.890833333333333,8.190000000000001,16.17
2026-07-01,27.450333333333333,32.59,22.526,28.6725,0.0,7749.13,8815.006000000001,6.274699999999999,9.8704,615.8981875449999,19.982499999999998,26.1,14.775,44.87083333333334,0.0,8003.91,8585.925,7.04975,11.587,664.749248325,30.227166666666665,37.396,22.968,15.686666666666667,0.0,8200.800000000001,9937.854000000001,5.519325,10.7642,719.5466630225001,22.07525,27.606,17.368,30.82,0.0,8253.036,9600.921999999999,10.680791666666666,14.3432,1682.2493335041665,3.67088109834607,0.0,5.450333333333333,8.100000000000001,16.17
2026-07-02,26.505416666666665,32.802,20.852,18.6275,0.06000000000000001,8224.7,9701.084,6.907933333333333,9.6974,715.9045719833333,20.72875,28.659999999999997,13.125,14.785416666666666,0.0,8398.0,9707.055,7.305145833333334,11.393500000000001,563.4615813270833,29.293833333333335,35.800000000000004,23.162000000000003,25.27166666666667,0.0,8122.860000000001,9737.220000000001,6.347158333333334,11.6872,751.3100227358334,22.211083333333335,28.592000000000002,16.972,18.229166666666668,0.0,8442.7,10128.484,11.559175,14.2664,1977.8972114575001,3.4148505615383655,0.0,4.505416666666665,0.505,16.17
